no,hanja,reading,meaning_ko,category,confidence,source_count,sources,note
34,尸,시,corpse; to impersonate the dead; to preside; Kangxi radical 44,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: dead
35,弊,폐,"evil, wrong, bad; criminal",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
36,弒,시,to kill one's superior,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: kill
37,徂,조,"go, advance; to; die",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: die
38,怔,정,a disease resembling neurosis,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disease
39,愾,개,"anger, wrath, hatred, enmity",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: hatred
40,慊,겸,to resent; contended; satisfied,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: resent
41,慘,참,"sad, pitiful, wretched; cruel",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: cruel
42,慝,특,"do evil in secret; evil, vice",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
43,憤,분,"resent, hate; indignant",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: resent
44,懣,문,"be sick at heart, sorrowful, sad",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: sick
45,懲,징,"punish, reprimand; warn",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: punish
46,戡,감,"subjugate, subdue, quell; kill",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: kill
47,戩,전,"exterminate, destroy; blessing",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
48,拆,탁,"to break up, split apart, rip open; to destroy",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
49,拷,고,torture and interrogate; hit,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: torture
50,掠,략/약,"rob, ransack, plunder; pass by",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: rob
51,搶,창,"plunder, rob, take by force",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: rob
52,摧,최,"destroy, break, injure",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
53,撻,달,"flog, whip; chastise; (Cant.) classifier for places; a tart (from the English 'tart')",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: flog
54,敝,폐,"break, destroy; broken, tattered",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
55,斥,척,"to scold, upbraid, accuse, reproach",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: scold
56,杸,대/수,to kill; a spear,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: kill
57,柩,구,coffin which contains corpse,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: corpse
58,梟,효,"an owl; thus, something evil",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
59,槁,고,"wither; withered, rotten, dead",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: dead
60,殀,요,"die young, die prematurely",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: die
61,殭,강,a stiff corpse,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: corpse
62,殮,렴/염,dress corpse for burial,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: corpse
63,殳,수,name of old weapon; kill; rad. 79,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: kill
64,毀,훼,"destroy, ruin, injure; slander",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
65,毁,훼,destroy,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
66,汙,오,"filthy, dirty, impure, polluted",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: filthy
67,泆,일,"licentious, libertine, dissipated",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: licentious
68,泯,민,"destroy, eliminate; perish",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
69,消,소,"vanish, die out; melt away",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: die
70,濕,습,"wet, moist, humid, damp; an illness",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: illness
71,灾,재,"calamity, disaster, catastrophe",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: calamity
72,牢,뇌/뢰,"prison; stable, pen; secure",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: prison
73,猙,쟁,"fierce-looking, ferocious",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: ferocious
74,獄,옥,"prison, jail; case; lawsuit",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: prison
75,獰,녕/영,ferocious appearance; hideous,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: ferocious
76,疚,구,"chronic disease, chronic illness; sorrow",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disease
77,疵,자,"flaw, fault, defect; disease",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disease
78,疾,질,"illness, disease, sickness; to hate",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disease
79,症,증,"disease, illness, ailment",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disease
80,痲,마,pock-marked; leprosy; measles,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: leprosy
81,痳,림/임,pock-marked; leprosy; measles,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: leprosy
82,痼,고,chronic disease,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disease
83,瘋,풍,"crazy, insane, mentally ill",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: insane
84,瘕,하,asthma; disease of the bowels,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disease
85,瘟,온,"epidemic, plague, pestilence",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: plague
86,癩,나/라,"leprosy, scabies, mange; shoddy",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: leprosy
87,眚,생,"disease of the eyes; crime, fault",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: disease
88,祓,불,"exorcise, remove evil; clean",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
89,祟,수,evil spirit; evil influence,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
90,禍,화,"misfortune, calamity, disaster",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: calamity
91,禫,담,sacrifice offered at the end of the three years' mourning the death of a parent,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: death
92,策,책,"scheme, plan; to whip; urge",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: whip
93,箠,추,horse whip; flog,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: flog
94,繯,현,"noose; death by hanging; tie, bind",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: death
95,纇,뇌/뢰,"knot; blemish, flaw, wicked",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: wicked
96,罔,망,net; deceive; libel; negative,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: deceive
97,罪,죄,"crime, sin, vice; evil; hardship",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: crime
98,罸,벌,"penalty, fine; punish, penalize",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: punish
99,背,배,back; back side; behind; betray,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: betray
100,莠,유,"weeds, tares; undesirable, evil",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
101,虜,노/로,"to capture, imprison, seize; a prison",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: imprison
102,螭,리/이,a dragon whose horns have not grown; cruel,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: cruel
103,衊,멸,"smear, slander; defile",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: slander
104,訃,부,obituary; give notice of death,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: death
105,訊,신,inquire; ask; examine; reproach,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: reproach
106,訑,이,"deceive, cheat; arrogant",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: deceive
107,詋,주,to curse; to swear an oath incantations,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: curse
108,詑,타,cheat,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: cheat
109,詛,저,"curse; swear, pledge",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: curse
110,詿,괘,"error, mistake; deceive, mislead",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: deceive
111,誄,뇌/뢰,"eulogize, praise the dead",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: dead
112,誅,주,"execute, kill, put to death; punish",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: death
113,誣,무,make false accusation; defame,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: defame
114,說,설/세/열,"speak, say, talk; scold, upbraid",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: scold
115,諆,기,to cheat,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: cheat
116,諝,서,knowledge; discrimination; treachery,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: treachery
117,謫,적,"charge, blame; disgrace; demote; punish",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: punish
118,謷,오,slander; to revile; huge; big,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: revile
119,譟,조,"clamor, noise, din; slander",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: slander
120,豺,시,"wolf; cruel, wicked, mean",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: wicked
121,賣,매,sell; betray; show off,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: betray
122,跆,태,trample,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: trample
123,踏,답,"step on, trample, tread on, walk",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: trample
124,踐,천,"trample, tread upon, walk on",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: trample
125,蹂,유,"trample under foot, tread on",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: trample
126,蹶,궐,"stumble, fall down; trample",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: trample
127,轝,여,"envy; hate, dislike; resentment",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: resentment
128,辜,고,"crime, criminal offense",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: crime
129,辣,날/랄,"peppery, pungent, hot; cruel",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: cruel
130,逝,서,pass away; die,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: die
131,遯,둔,"deceive, hide, conceal; flee; hexagram ䷠",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: deceive
132,闚,규,flash; flashing; steal look,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: steal
133,隕,운,"fall, slip; let fall; die",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: die
134,隳,휴,to destroy; to overthrow,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: destroy
135,鞭,편,whip; whip; string of firecrackers,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: whip
136,頡,힐,"fly upward, soar; contest; to rob",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: rob
137,飾,식,"decorate, ornament, adorn; to deceive",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: deceive
138,馘,괵,cut off left ear; tally dead enemy,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: dead
139,骰,투,"die, dice",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: die
140,骼,격,bone; skeleton; corpse,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: corpse
141,髡,곤,to shave the head as a punishment; to prune,뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: punishment
142,魔,마,"demon, evil spirits; magic power",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
143,黑,흑,"black; dark; evil, sinister; Kangxi radical 203",뜻흉함(자동스캔-영문),상,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: evil
144,㒤,섭,"to have one's heart won; to submit, admire, etc. sincerely and willingly, (interchangeable 懾) to fear; to dread; to be scared of",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: dread
145,㣽,서,"(ancient form of 恕) to forgive; to pardon, (ancient form 怒) anger; wrath; indignation; rage",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: anger
146,㦆,하,"to exaggerate; exaggeration, arrogant; showing wild imagination; preposterously fantastic, without ambition; discourage",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: arrogant
147,㰫,참,"glad; joyful; happy, avaricious; greedy, cold",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: greedy
148,䛘,임,"to think of; to remember (someone), to read out aloud, loquacious, guttural sound, noise; uproar; turmoil",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: turmoil
149,䜌,난/란/련/연,"(ancient form) chaos; distraction; confusion, confused, continuous; uninterrupted; to tie together, to manage",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: confusion
150,乖,괴,"rebel; crafty, shrewd",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: rebel
151,伈,심,"nervous, fearful",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: fearful
152,儳,참,obstinate; stupid; uneven; mix,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: stupid
153,兢,긍,"fearful, cautious, wary",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: fearful
154,凜,늠/름,"shiver with cold or fear, fearful",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: fearful
155,却,각,"still, but; decline; retreat",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: decline
156,卻,각,"still, but; decline; retreat",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: decline
157,吽,후,"'OM'; bellow; (Cant.) dull, stupid",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: stupid
158,哽,경,choke (with grief),뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: grief
159,唏,희,weep or sob; grieve,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: grieve
160,噲,쾌,"swallow, gulp down; greedy",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: greedy
161,囂,효,be noisy; treat with contempt,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: contempt
162,坍,담,collapse; landslide,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: collapse
163,坏,배,"rotten, spoilt, bad, broken down",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: rotten
164,塌,탑,"fall in ruins, collapse",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: collapse
165,奭,석,red; anger; ire; surname,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: anger
166,奰,비,anger,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: anger
167,妄,망,"absurd, foolish, reckless; false",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: foolish
168,妒,투,"jealous, envious",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: jealous
169,妬,투,"jealous, envious",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: jealous
170,媢,모,"be jealous of, be envious",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: jealous
171,嬲,뇨/요,"frolic, play with; flirt with; (Cant.) angry",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: angry
172,忌,기,"jealous, envious; fear",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: jealous
173,怞,추,to grieve; sorrowful,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: grieve
174,怦,평,"eager, ardent, impulsive; anxious",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: anxious
175,怩,니/이,"shy, timid, bashful; look ashamed",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: timid
176,怯,겁,"lacking in courage, afraid",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: afraid
177,怲,병,"be anxious, be grieved, be sad",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: anxious
178,悸,계,"fearful, apprehensive, perturbed",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: fearful
179,悼,도,"grieve, mourn, lament; grieved",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: grieve
180,惄,녁/역,long for; hungry,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: hungry
181,惏,남/람,avaricious; greedy cold,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: greedy
182,惴,췌,"afraid, apprehensive, nervous",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: afraid
183,惶,황,"fearful, afraid, anxious, nervous",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: anxious
184,惷,준,wriggle; stupid; silly; fat,뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: stupid
185,愀,초,"to change one's countenance, be anxious; to blush",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: anxious
186,愞,난,"timid, apprehensive",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: timid
187,慇,은,"careful, anxious, attentive",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: anxious
188,慟,통,"sadness, grief; mourn; be moved",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: grief
189,慮,려/여,"be concerned, worry about",뜻흉함(자동스캔-영문),중,0,meaning(영문) 키워드 자동 스캔,매칭 키워드: worry
